change_event.change_date_time,change_event.user_email,change_event.change_resource_type,change_event.resource_change_operation,change_event.client_type,campaign.name,ad_group.name,change_event.change_resource_name,change_event.old_resource,change_event.new_resource,ad_group.resource_name,campaign.resource_name,change_event.changed_fields.paths,change_event.resource_name
2026-07-23 11:14:37.536127,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types EX I Keyword Options Final Test,STAN I BROAD I HOME,customers/3599116618/adGroups/153203976687,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPES""}}","{""ad_group"":{}}",customers/3599116618/adGroups/153203976687,customers/3599116618/campaigns/20186748653,tracking_url_template,customers/3599116618/changeEvents/1784798077536127~0~0
2026-07-23 11:14:32.959583,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_MIXED,RoB Special Drops 342 - Ocker - CP,customers/3599116618/adGroups/189694296709,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/189694296709,customers/3599116618/campaigns/23293840553,tracking_url_template,customers/3599116618/changeEvents/1784798072959583~0~0
2026-07-23 11:14:23.328015,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_MIXED #2,RoB Special Drops 342 - Ocker - CP,customers/3599116618/adGroups/195793798204,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/195793798204,customers/3599116618/campaigns/23644271217,tracking_url_template,customers/3599116618/changeEvents/1784798063328015~0~0
2026-07-23 11:14:20.330911,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #4 Grey Dye - CP,customers/3599116618/adGroups/189537537539,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/189537537539,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798060330911~0~0
2026-07-23 11:14:16.774127,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #3 Mentol - PDP,customers/3599116618/adGroups/189330399117,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/189330399117,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798056774127~0~0
2026-07-23 11:14:14.218719,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #2 Beige - PDP #2,customers/3599116618/adGroups/189917829995,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/189917829995,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798054218719~0~0
2026-07-23 11:14:11.235759,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #2 Beige - CP,customers/3599116618/adGroups/188006339894,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/188006339894,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798051235759~0~0
2026-07-23 11:14:08.436575,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #1 Purple - PDP,customers/3599116618/adGroups/194798124411,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/194798124411,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798048436575~0~0
2026-07-23 11:14:03.515023,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DG SPECIAL DROPS _ CP+PDP_ TOF,RoB Special Drops - #1 Purple - CP,customers/3599116618/adGroups/194798124451,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/194798124451,customers/3599116618/campaigns/23288843748,tracking_url_template,customers/3599116618/changeEvents/1784798043515023~0~0
2026-07-23 11:13:59.272991,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,BFCM '25 - DISPLAY MOF,RoB Purple,customers/3599116618/adGroups/187815806774,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/187815806774,customers/3599116618/campaigns/23298347257,tracking_url_template,customers/3599116618/changeEvents/1784798039272991~0~0
2026-07-23 11:13:56.212031,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | EN | WW | DEMAND GEN | TEST,New Targeting Testing,customers/3599116618/adGroups/160644958513,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/160644958513,customers/3599116618/campaigns/20547349641,tracking_url_template,customers/3599116618/changeEvents/1784798036212031~0~0
2026-07-23 11:13:51.865727,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,JM I YT Shirt Offers I OFFER INTRA DAY SCALING,customers/3599116618/adGroups/190607843007,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607843007,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784798031865727~0~0
2026-07-23 11:13:47.393775,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #2,JM I YT 342 OFFER INTRA DAY SCALING #2,customers/3599116618/adGroups/186063242785,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/186063242785,customers/3599116618/campaigns/22410839902,tracking_url_template,customers/3599116618/changeEvents/1784798027393775~0~0
2026-07-23 11:13:43.661519,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #2,JM I YT 342 OFFER INTRA DAY SCALING,customers/3599116618/adGroups/181388156150,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181388156150,customers/3599116618/campaigns/22410839902,tracking_url_template,customers/3599116618/changeEvents/1784798023661519~0~0
2026-07-23 11:13:39.301615,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,JM I YT 342 OFFER INTRA DAY SCALING,customers/3599116618/adGroups/190607842687,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607842687,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784798019301615~0~0
2026-07-23 11:13:34.775199,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,JM I YT 10 years OFFER INTRA DAY SCALING,customers/3599116618/adGroups/190607842927,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607842927,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784798014775199~0~0
2026-07-23 11:13:31.046703,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DG I INTRA-DAY OFFER,"Grimfall For 12,90€ #3",customers/3599116618/adGroups/190668492842,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190668492842,customers/3599116618/campaigns/23114698978,tracking_url_template,customers/3599116618/changeEvents/1784798011046703~0~0
2026-07-23 11:13:23.858287,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DG I INTRA-DAY OFFER,"Grimfall For 12,90€ #2",customers/3599116618/adGroups/195909089024,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/195909089024,customers/3599116618/campaigns/23114698978,tracking_url_template,customers/3599116618/changeEvents/1784798003858287~0~0
2026-07-23 11:13:19.292543,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DG I INTRA I SHIRT DEALS,"Grimfall For 12,90€",customers/3599116618/adGroups/181958319730,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181958319730,customers/3599116618/campaigns/23114877277,tracking_url_template,customers/3599116618/changeEvents/1784797999292543~0~0
2026-07-23 11:13:15.680287,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,JM I DG I INTRA-DAY OFFER,"Grimfall For 12,90€",customers/3599116618/adGroups/189805080187,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/189805080187,customers/3599116618/campaigns/23114698978,tracking_url_template,customers/3599116618/changeEvents/1784797995680287~0~0
2026-07-23 11:13:12.471087,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,Blunt New Audience/ Grafitti,Graffiti,customers/3599116618/adGroups/71674777109,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/71674777109,customers/3599116618/campaigns/2040859611,tracking_url_template,customers/3599116618/changeEvents/1784797992471087~0~0
2026-07-23 11:13:09.236351,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | FRA | SEARCH | BRAND,FRA | STAN | BRAND,customers/3599116618/adGroups/151062191217,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/151062191217,customers/3599116618/campaigns/20530080445,tracking_url_template,customers/3599116618/changeEvents/1784797989236351~0~0
2026-07-23 11:13:05.881887,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,Full Force 2019,Festival + Tattoo,customers/3599116618/adGroups/77116015192,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/77116015192,customers/3599116618/campaigns/2083565262,tracking_url_template,customers/3599116618/changeEvents/1784797985881887~0~0
2026-07-23 11:13:01.868271,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #2,EX I WW I YOU I BROAD I SCALING I ACID RAIN,customers/3599116618/adGroups/181388156350,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/181388156350,customers/3599116618/campaigns/22410839902,tracking_url_template,customers/3599116618/changeEvents/1784797981868271~0~0
2026-07-23 11:12:59.200959,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I WW I YOU I BROAD TESTING I INFLUENCER & ANIM.C. #3,EX I WW I YOU I BROAD I SCALING I ACID RAIN,customers/3599116618/adGroups/190607842767,"{""ad_group"":{""tracking_url_template"":""{lpurl}?tw_source=google&tw_adid={creative}&tw_campaign={campaignid}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/190607842767,customers/3599116618/campaigns/23125747679,tracking_url_template,customers/3599116618/changeEvents/1784797979200959~0~0
2026-07-23 11:12:17.998815,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX | ESP | SEARCH | BRAND,ESP | STAN | BRAND,customers/3599116618/adGroups/157111914190,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/157111914190,customers/3599116618/campaigns/20526053006,tracking_url_template,customers/3599116618/changeEvents/1784797937998815~0~0
2026-07-23 11:12:12.090527,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I WW I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,DYN I BROAD I HOME,customers/3599116618/adGroups/140379825098,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIDYNIBROADIHOME""}}","{""ad_group"":{}}",customers/3599116618/adGroups/140379825098,customers/3599116618/campaigns/17820068572,tracking_url_template,customers/3599116618/changeEvents/1784797932090527~0~0
2026-07-23 11:12:05.368911,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types Exact Match vs Broad - DE I DACH I SEARCH,DYN I BROAD I HOME,customers/3599116618/adGroups/142337961539,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142337961539,customers/3599116618/campaigns/18521121829,tracking_url_template,customers/3599116618/changeEvents/1784797925368911~0~0
2026-07-23 11:12:00.729999,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I EN I UK I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types,DYN I BROAD I HOME,customers/3599116618/adGroups/142810906041,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142810906041,customers/3599116618/campaigns/17801615160,tracking_url_template,customers/3599116618/changeEvents/1784797920729999~0~0
2026-07-23 11:11:57.359871,exmachina.agency@gmail.com,AD_GROUP,UPDATE,GOOGLE_ADS_WEB_CLIENT,EX I DE I DACH I TOF I BROAD I PUR I T-CPA II BROAD I NO PROMO I Kollektionen + Types EX I KEYWORD TESTING II  Empfehlungen (Test),DYN I BROAD I HOME,customers/3599116618/adGroups/142851960613,"{""ad_group"":{""tracking_url_template"":""{lpurl}?trc_gcmp_id={campaignid}&trc_gag_id={adgroupid}&trc_gad_id={creative}&utm_source=google&utm_medium=search&utm_campaign=EXIENIUSITOFIBROADIPURIT-CPAIIBROADINOPROMOIKOLLEKTIONENTYPES""}}","{""ad_group"":{}}",customers/3599116618/adGroups/142851960613,customers/3599116618/campaigns/18791231470,tracking_url_template,customers/3599116618/changeEvents/1784797917359871~0~0
