keyword_text,match_type,campaign_name,ad_group_name,campaign_id,ad_group_id,criterion_id,flag_type,flag_severity,flag_detail,impressions,clicks,cost,quality_score,ad_relevance,expected_ctr,landing_page_exp,class,bidding_mode,bidding_strategy_type,target_source,portfolio_name
schweißer jobs in der nähe,EXACT,EX | 25 | CH | SEARCH | LEAD | Schweisser,AG | RSA | Schweisser,20691357994,155384660552,1169839126538,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,7,3,4.06,6,AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
jobs produktionsmechaniker,BROAD,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,314482536683,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,581,43,47.85,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
Produktionsmechaniker jobs,BROAD,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,349193614476,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,732,21,19.05,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
Produktionsmechaniker stellen,BROAD,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,405390857242,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,396,20,16.87,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
produktionsmechaniker efz,EXACT,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,1313788095767,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,2,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
produktionsmechaniker jobs zürich,BROAD,EX | 25 | CH | SEARCH | LEAD | Produktionsmechaniker,AG | RSA | Produktionsmechaniker,20707086616,156511338642,2231074493478,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,1,0.82,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer gesucht,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,4730694794,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,44,3,6.15,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
jobs maurer,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,303040627186,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer jobs bern,EXACT,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,325350739840,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,7,0,0.00,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer jobs zürich,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,326459354854,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,2,0,0.00,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer offene stellen,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,436687795640,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,81,15,20.96,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer offene stellen,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,436687795640,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,81,15,20.96,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer jobs aargau,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,485123639699,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,0,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer jobs aargau,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,485123639699,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
offerte lavoro muratore vitto alloggio svizzera,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,753218508900,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",1,1,0.44,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
offerte lavoro muratore vitto alloggio svizzera,PHRASE,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,753218508900,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,1,0.44,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
maurer efz,EXACT,EX | 26 | CH | SEARCH | LEAD | Maurer,AG | RSA | Maurer,23478250789,189117549302,1188250874304,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,0,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitärinstallateur offene stellen,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,23399998325,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,0,0.00,6,AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitärinstallateur jobs,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,313395867110,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,378,34,61.02,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitär stellen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,314700652225,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,50,1,0.76,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitär stellen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,314700652225,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,50,1,0.76,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitärinstallateur offene stellen,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,327020830076,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,116,7,11.56,6,AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitärinstallateur efz,BROAD,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,346622172633,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,1,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitär offene stellen,EXACT,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,377642057436,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,27,1,0.77,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitärinstallateur jobs,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,426119976601,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,8,0,0.00,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitär jobs luzern,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,748407943828,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,7,0,0.00,4,AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
sanitär stellen zürich,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,1463565428141,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,20,2,3.64,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
Sanitärinstallateur temporär,PHRASE,EX | 25 | CH | SEARCH | LEAD | Sanitärinstallateur,AG | RSA | Sanitärinstallateur,15210620323,190557736766,2310212252332,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,36,8,13.47,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
elektroinstallateur jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,298491329911,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,659,50,93.31,5,ABOVE_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
electrician jobs switzerland,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1066748893805,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",3,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
electrician jobs switzerland,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1066748893805,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,3,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
electrician jobs switzerland,PHRASE,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1232436323910,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",3,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
electrician jobs switzerland,PHRASE,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1232436323910,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,3,0,0.00,5,BELOW_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
elektroniker temporär,EXACT,EX | 26 | CH | SEARCH | LEAD | Elektroinstallateur,AG | RSA | Elektroinstallateur,23369525700,190690911095,1457116295429,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,32,5,8.34,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
isoleur jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,305326914697,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,3,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
isoleur jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,305326914697,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,3,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
abdichter jobs,BROAD,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,486338965163,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,6,1,1.63,7,ABOVE_AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
abdichter efz,EXACT,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,1427214547402,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,4,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
abdichter efz,EXACT,EX | 26 | CH | SEARCH | LEAD | Abdichter,AG | RSA | Abdichter,23473547006,191108771999,1427214547402,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,4,0,0.00,2,AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
stellenangebote dachdecker,BROAD,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,825828175,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,153,6,4.16,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
stellenangebote dachdecker,BROAD,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,825828175,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,153,6,4.16,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
dachdecker jobs,PHRASE,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,4771722986,ECTR_BELOW_AVG,Medium,Expected CTR Below Avg. Route to /offer-maker + /rsa-maker once AR is Average+.,76,6,6.31,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
dachdecker jobs,PHRASE,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,4771722986,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,76,6,6.31,3,ABOVE_AVG,BELOW_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
dachdecker jobs zürich,EXACT,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,356909859580,LP_BELOW_AVG,Medium,Landing Page Experience Below Avg. Route to /lp-auditor → /lp-optimizer.,7,0,0.00,6,AVG,ABOVE_AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
dachdecker flachdach jobs,PHRASE,EX | 26 | CH | SEARCH | LEAD | Dachdecker,AG | RSA | Dachdecker,6496821254,191152991225,668053509543,AR_BELOW_AVG,Medium,"Ad Relevance Below Avg. Route to /rsa-maker (copy); if Headline Test fails, surface pending keyword-restructurer brief (skill not yet built).",1,0,0.00,3,BELOW_AVG,AVG,BELOW_AVG,GENERIC,SMART,MAXIMIZE_CONVERSIONS,none,
