placement,display_name,placement_type,campaign_name,campaign_id,campaign_channel_type,impressions,clicks,ctr,cost,conversions,cost_per_conversion,conversions_value,view_through_conversions,all_conversions,campaign_avg_cpa,campaign_avg_ctr,flag_type,flag_severity,flag_detail
"UCBbhh1GKazuVzZn4GtlPBWQ","Aspiringspike","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.13,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UCUgE8CXjb-sE5m2MTEpjZ1Q","DTwizzy","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.12,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UC8Km1wFRidaaGluly82AZ-A","coco & clair clair","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.12,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCdHqdfzdvT7tbAfeQM1gLnQ","Grant Rudow","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.12,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UCU_8AjoQFl4KglLAVc1yhTg","Knucks","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.11,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UC4XJeGGdXj0vA4CxDDJ8J_A","Cakes & Eclairs","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",14,2,0.1429,0.11,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCg8h9rFBF-5qFWQdMPslPDQ","Tai","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",15,2,0.1333,0.11,0,0.00,0,0,4,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 13.3% suggests accidental clicks"
"UCfsbn7NkF2n4KQp2XBluz_g","More Magnus","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.10,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCF_dyjQiup3bU6EWPSqor9g","𝐌𝐨𝐭𝐢𝐟𝐲 ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.09,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UCHai12P6Gh7PaIYZGnzyrSA","AmyWinehouseVEVO","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.09,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCCLiQjxOLiL8t8hwl5iB3mA","CineRanter","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.08,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCRcL3ag9PGY8GDWsGwfrHAg","Mat and Chels React","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",11,2,0.1818,0.08,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 18.2% suggests accidental clicks"
"UC67nCxHHn4bIUU5-SqLEGdw","TicTALK with Aster Amoyo","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.08,0,0.00,0,0,5,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCIDlKYC7I6_76jCUBdX-6VQ","KYRSP33DY","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.08,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCEAej4dCSCph1vlB98hXcQg","Grim Salvo","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.08,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCTjqo_3046IXFFGZ_M5jedA","jackisanerd","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.07,0,0.00,0,0,67,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCEQFV67CRsLQt40wLteSUUA","NFuel","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UCQsJ--Y3PMHCXdj7wGPsD7A","RAZZLE","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCYCMxflBttiOL9l3vJQf6Vg","The Nightowl","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCkTDaTtrfRhIBVtDxyjaRng","The Anointed Screen ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UC-61RtjF3g2Pyc2f5VrWEIg","Layto","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.07,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCHgiEPzSMunohyGncZkoMoA","salon tube","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.07,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UC8kk1qPnZIJHSaBuyMYWX4Q","Hải Văn ở Trung Quốc ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.07,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCYZKE8AlxOR04cz6o0rEUxg","CIAO ITALY","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCYXFXQorT0IEUEIc_jexG1w","ThisIsLaw","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UC4-lhcXUwa_EX2DiVP0XyaQ","RickSpringfieldVEVO","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.07,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UC17CrGaIT1n4qPSHhrsTQSA","God Is Faithful Ministries - Topic","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.07,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCqJMqcS9cNl19LWABlBcABg","Comedy Woman","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCT8o03BKxZdZ5OlEuXaYZqA","BTS UPDATE","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UC3d3_X0dUnt8YXVKyqr-XLA","Team StarKid","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.06,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UC3J_7c1y3Ftu_UgFMfiJjIw","MonstersAbound","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.06,0,0.00,0,0,5,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCQIrhE_-rD69fz3_CH_9bag","Bayoucool2","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.06,0,0.00,0,0,5,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCqhuZr5LbESW8L3vtee-EsA","PrideFlix","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.06,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UClRd095d3rKCq7LrkKQXJhg","Becca Berk","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCpKzp09vK_EKqCqMReDp2ww","Tatiana Yashasyn ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCvYomLPMwUr1FAXRMGhVfCQ","Tom Petty & The Heartbreakers","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCy8m1xxZpj6V8xtm-vtvzpg","VintageVerse","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.06,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UCE7NYmhZkoVeuecwGhs0t3Q","22 Records","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UC0SVpTeEgNb3cYBYALDVzgg","Юлия Большакова | Elevated","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.06,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCYK4VLgRQR3_5d4x2t6YRfQ","AlexiaEvellynVEVO","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.05,0,0.00,0,0,9,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UCv9aO2bZEeREMltD5EOGJtQ","Teena Marie - Topic","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.05,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UCeY_QgW8iYhcv8GiZoDQ-Bw","rxstrmom","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCJbgvbXt3LRtru6z4dUu9gw","FrameTalk","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.05,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCyLjTgYrVIFO2_VSAEO43tA","OsamaSon","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCrpLkMAAVermww0JiOqh-oA","Fool's Gold Records","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.05,0,0.00,0,0,11,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCH9fakOo40rOv7HGvbGc1rQ","convar HUN","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UCeU6EuuiIp-vVjlueJzeRZw","Прогулки по Харькову","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.05,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UC0cnYfHzt3MLCIvWdP1jDMQ","AUGHHH","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UChbXr8aXF6LMQZyugD8DlRg","Luke Chu","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.05,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UC4DxaTVFBBxhXPqZFaXU9yg","Jynxzi VODS","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.05,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCFNoCHk5IO-iumVcnEKTXOw","Midnight Crime (မှုခင်းသတင်း)","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCzOcHVgNTXxH2v5IZGFuLpw","GUGU","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCMYVmaKFMD1TxYSIQTo81gg","Edgier Than Thou","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCu5q5gEyaJ4D5hrswXci3Cw","Tacarra Williams Comedy","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCR9hrtsbRFUD1EMsY1J5OdQ","Areia Creations","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.05,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCoeyw1b6ijfa3FkYCSq-Npw","sewing somi","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.04,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UClFVyCEaKla6FTe1wE4qWpQ","HypeMusic","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,3,0.7500,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 75.0% suggests accidental clicks"
"UCcHT-isB1LiWGYI__0onHiQ","Lex Lounge","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UC_vJbWq8yOIlj7G-nB2M6Og","Majid Entezami","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCsNFTe7MipWVndHyjCM2srQ","Liam McEwan","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.04,0,0.00,0,0,8,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UC-nLPHqVwvwAZSqAihRcSlg","Sanford and Son","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",9,1,0.1111,0.04,0,0.00,0,0,4,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 11.1% suggests accidental clicks"
"UCwVxBEF48vZXh90VghVmdOQ","Hala Belly Dance الرقص الشرقي مع هالة","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCh6zMB63Y5jwT5H73IJUnhQ","MAGUY LOVE  PRODUCTIONS","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCESH8zmMcQa0AUTCtnFYO7A","FrontKickedMMA","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UCMgZDYzBdEJd-A2k3n2m7Dg","felixsideup","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.04,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UC2XQY0KNfPJH5qiFuS_fOoQ","DM Timothy","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCrCapxOf7Unw5UxReox46JQ","Victor Quintana","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCZf4O1nlWHWXE2uQNjX9YfQ","Woman Silhouette Hub","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCPLuitOOKPGuruvu20MoJgg","MicroTool Lab","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCPDAK2GIu5Ud4P2PUsj_ZRQ","Sali Story","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UCfPy-Jn9CU-RXPgKV4h_Olg","ВСМИСЛІ ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",8,1,0.1250,0.04,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 12.5% suggests accidental clicks"
"UC5RpbFDGW-pgOaRMDUYpBFw","Alpharad LIVE","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UC5-MatmZOvX-ORzhTuO0ZiQ","NOFX - Topic","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.04,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCyrXTiox06qkrKFy5OAtlLA","Figuring Out Fantasy","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.04,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCNKDPYyiF_XY4hYAkBuU_TQ","My Damn Toys","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.03,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCuf0fVBz37NJwdPkvDDGqMQ","Jewelry Journeys","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",7,1,0.1429,0.03,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 14.3% suggests accidental clicks"
"UCP35tS1rd6DJthNZK1fSPIA","Dominic Barry","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.03,0,0.00,0,0,2,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCYv1dtKR8R1bw6wsN2qpgGg","Spiritually Fit Tarot","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",4,1,0.2500,0.03,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 25.0% suggests accidental clicks"
"UCFcisl8k_DSmvN1GhjejNaw","The Immortals ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",6,1,0.1667,0.03,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 16.7% suggests accidental clicks"
"UCyiyoOt0ZYqwC_L5JMORM4A","BruceHornsbyVEVO","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.03,0,0.00,0,0,3,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
"UCTYYVru04S0yqKYKFrV8uOg","BHZ","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.03,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCiS3MSEZRYLdz-NSX9Gbp7Q","DriveTV","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",1,1,1.0000,0.03,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 100.0% suggests accidental clicks"
"UCZlmUQNTrMFvYBz8nSLz2rA","Buddy","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",3,1,0.3333,0.03,0,0.00,0,0,1,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 33.3% suggests accidental clicks"
"UCdX2H-n4wNJ6oyKSLftgWnA","Надежда Борисова про бьюти","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",2,1,0.5000,0.03,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 50.0% suggests accidental clicks"
"UCdc_JyNaB5VJ0gdWUtWfGDg","PyroLIVE","YOUTUBE_CHANNEL","Video View DRAFT","23807887103","VIDEO",5,1,0.2000,0.03,0,0.00,0,0,0,0.00,0.0015,"HIGH_CTR_ACCIDENTAL","High","CTR 20.0% suggests accidental clicks"
