placement,display_name,placement_type,flag_type,flag_severity,flag_detail
"UC1cyGje-DRza7ei9M_oYHNA","Grey Wiese","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCU6cE7pdJPc6DU2jSrKEsdQ","Drake - Topic","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","YouTube Topic music channel — official artist content"
"UC11RIQQg3bSkGtnpx9dom5g","ChemicalBrothersVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCX62fwFYJNo5U-Flu2V-kGQ","BeastieBoysVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCifDpwVLU2V8nRQE9e-X_Sg","The Classic Rock Show","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music/rock channel — music-focused content"
"UCqECaJ8Gagnn7YCbPEzWH6g","Taylor Swift","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UC6ly_u2ufiHGpYzC_28-8zw","KoRn","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Band/music artist channel — primarily music content"
"UC70Dib4MvFfT1tU6MqeyHpQ","Preston","YOUTUBE_CHANNEL","KIDS_CONTENT","Critical","Gaming/Minecraft content targeting children"
"UCAiXTBMJdbCLlWzJbWATYSw","Lingerie Fighting Championships","YOUTUBE_CHANNEL","BRAND_UNSAFE","Critical","Adult entertainment content — wrestling in lingerie"
"UCCbP5cOWp9s75x_r6xq7LcQ","Fatboy Slim","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Music artist channel — primarily music content"
"UCdOcBpu5O2V0JhFFs9k-Ouw","HozierVEVO","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","VEVO music video channel — passive music content"
"UCnSWkrRWNQWNhDusoWr_HXQ","SML","YOUTUBE_CHANNEL","KIDS_CONTENT","Critical","Puppet/prank content targeting children"
"UCrR-9qug_zHoiBBGTXGP2Hw","Family Friendly","YOUTUBE_CHANNEL","KIDS_CONTENT","Critical","Family/children-focused content channel"
"UCAptZHV2-xkB4GJGwSKRsHQ","Новий канал","YOUTUBE_CHANNEL","LANGUAGE_MISMATCH","Medium","Ukrainian/Russian language channel — mismatched with English/German target market"
"UCpXfcdXulKYTBO3DNBFWMjQ","Domovinski rat - Borna Marinić","YOUTUBE_CHANNEL","BRAND_UNSAFE","Critical","Political inflammatory content — war-focused channel"
"UCyo1DYcm1IZ9v3UPkpiAcgtg","Tyler, The Creator - Topic","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","YouTube Topic music channel — official artist content"
"UCkFJ9wGXfufCCi4PYIy5-Hw","戰爭劇場Chinese Drama","YOUTUBE_CHANNEL","LANGUAGE_MISMATCH","Medium","Chinese-language drama content — mismatched with English/German target market"
"UCJh1Bs6hnQFIlKXZjxD3HNw","Judas Priest ᴳᴼᴸᴰᴱᴺ ᴱᴿᴬ","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Band/music artist channel — primarily music content"
"UC7issVWTLKVHDDk8hjcXAuQ","Frontline Vinyls","YOUTUBE_CHANNEL","MUSIC_PASSIVE","Medium","Vinyl record/music collector channel"
